date,margin_balance,margin_change,index_value,unit
2025-12-31,117524213,913410,276.239990234375,(仟元)
2026-01-02,119037034,1512821,278.0299987792969,(仟元)
2026-01-05,120276333,1239300,275.6600036621094,(仟元)
2026-01-06,121561103,1284770,278.9700012207031,(仟元)
2026-01-07,121535001,-26102,281.44000244140625,(仟元)
2026-01-08,122365811,830810,280.05999755859375,(仟元)
2026-01-09,123419837,1054026,279.8500061035156,(仟元)
2026-01-12,125959066,2539229,286.57000732421875,(仟元)
2026-01-13,126016170,57104,285.3599853515625,(仟元)
2026-01-14,127811317,1795147,290.6000061035156,(仟元)
2026-01-15,128234914,423597,291.1600036621094,(仟元)
2026-01-16,129208494,973580,292.7799987792969,(仟元)
2026-01-19,128949344,-259150,295.1099853515625,(仟元)
2026-01-20,130204169,1254825,297.6099853515625,(仟元)
2026-01-21,129178674,-1025495,293.1600036621094,(仟元)
2026-01-22,130140366,956791,297.82000732421875,(仟元)
2026-01-23,131254171,1113890,299.260009765625,(仟元)
2026-01-26,132292307,1038136,302.6499938964844,(仟元)
2026-01-27,133446927,1156135,305.260009765625,(仟元)
2026-01-28,135866180,2419253,309.2799987792969,(仟元)
2026-01-29,134771037,-1095143,305.4800109863281,(仟元)
2026-01-30,135053981,282944,300.7799987792969,(仟元)
2026-02-02,133263738,-1790243,294.32000732421875,(仟元)
2026-02-03,133733693,469953,298.260009765625,(仟元)
2026-02-04,135103558,1369883,301.5199890136719,(仟元)
2026-02-05,134109730,-993828,296.3599853515625,(仟元)
2026-02-06,133140080,-969556,290.7200012207031,(仟元)
2026-02-09,132894780,-245300,296.6199951171875,(仟元)
2026-02-10,132232521,-662233,296.5199890136719,(仟元)
2026-02-11,131328050,-904322,297.7099914550781,(仟元)
2026-02-23,132218231,1132005,303.8299865722656,(仟元)
2026-02-24,133644497,1430992,311.44000244140625,(仟元)
2026-02-25,134846332,1201835,313.239990234375,(仟元)
2026-02-26,137847796,3001464,316.7300109863281,(仟元)
2026-03-02,138910837,1063041,316.010009765625,(仟元)
2026-03-03,137870095,-1040742,308.80999755859375,(仟元)
2026-03-04,136500909,-1369186,293.79998779296875,(仟元)
2026-03-05,138385675,1884766,304.2099914550781,(仟元)
2026-03-06,139309454,923779,306.489990234375,(仟元)
2026-03-09,131572330,-7737025,288.9599914550781,(仟元)
2026-03-10,132207095,634765,297.5299987792969,(仟元)
2026-03-11,135467113,3260018,311.5,(仟元)
2026-03-12,135278453,-188652,311.5899963378906,(仟元)
2026-03-13,135531335,252882,312.8999938964844,(仟元)
2026-03-16,137867653,2336318,317.19000244140625,(仟元)
2026-03-17,139248059,1380406,321.0299987792969,(仟元)
2026-03-18,142631450,3383391,329.3999938964844,(仟元)
2026-03-19,143871126,1239676,329.7900085449219,(仟元)
2026-03-20,144156643,288982,328.3999938964844,(仟元)
2026-03-23,142158273,-1998370,317.0199890136719,(仟元)
2026-03-24,141025241,-1133032,312.739990234375,(仟元)
2026-03-25,143052830,2027682,324.8699951171875,(仟元)
2026-03-26,142227090,-825740,322.79998779296875,(仟元)
2026-03-27,142883964,656874,325.0,(仟元)
2026-03-30,142494538,-389426,320.3999938964844,(仟元)
2026-03-31,137841637,-4653015,307.7300109863281,(仟元)
2026-04-01,140279056,2436621,321.19000244140625,(仟元)
2026-04-02,139459125,-819927,317.8999938964844,(仟元)
2026-04-07,143526132,4067007,325.6099853515625,(仟元)
2026-04-08,146639961,3113829,341.20001220703125,(仟元)
2026-04-09,148970565,2184569,342.57000732421875,(仟元)
2026-04-10,151536321,2565771,349.5,(仟元)
2026-04-13,153172880,1636559,352.2300109863281,(仟元)
2026-04-14,154095331,922451,356.0,(仟元)
2026-04-15,155544909,1435229,359.8599853515625,(仟元)
2026-04-16,158513575,2968666,365.9599914550781,(仟元)
2026-04-17,162017650,3504075,372.3399963378906,(仟元)
2026-04-20,164028033,2010562,383.5,(仟元)
2026-04-21,166052358,2024369,390.57000732421875,(仟元)
2026-04-22,168460688,2408330,395.0799865722656,(仟元)
2026-04-23,164905158,-3555530,381.32000732421875,(仟元)
2026-04-24,167609493,2705050,381.5400085449219,(仟元)
2026-04-27,169875379,2265886,377.04998779296875,(仟元)
2026-04-28,176102100,6226721,382.05999755859375,(仟元)
2026-04-29,178701104,2599004,382.75,(仟元)
2026-04-30,180438401,1737297,384.5799865722656,(仟元)
2026-05-04,184849852,4411451,398.25,(仟元)
2026-05-05,191787316,6952106,407.44000244140625,(仟元)
2026-05-06,193797374,2010058,410.2900085449219,(仟元)
2026-05-07,198522359,4724985,416.4100036621094,(仟元)
2026-05-08,195480756,-3041603,409.44000244140625,(仟元)
2026-05-11,198570816,3090060,422.010009765625,(仟元)
2026-05-12,198503113,-67703,425.7099914550781,(仟元)
2026-05-13,197554532,-948551,420.5400085449219,(仟元)
2026-05-14,199250148,1695616,426.57000732421875,(仟元)
2026-05-15,195027576,-4222569,411.17999267578125,(仟元)
